Re,St,Cd
550.69,0.16,1.12
125.87,0.16,1.19
217.34,0.16,1.21
1444.45,0.23,0.78
1206.18,0.2,0.86
4334.22,0.22,0.75
940.65,0.19,0.84
2350.97,0.26,0.78
1242.68,0.24,0.85
114.85,0.15,1.25
88.25,0.14,1.21
471.12,0.17,0.95
182.12,0.16,1.11
2422.07,0.27,0.78
2827.94,0.19,0.79
3945.03,0.27,0.65
715.09,0.19,1.17
207.24,0.15,1.13
153.25,0.15,1.18
1314.79,0.17,1.03
1628.94,0.2,0.83
809.61,0.21,0.85
996.3,0.24,0.84
2995.17,0.23,0.75
3154.48,0.23,0.74
4894.76,0.25,0.67
3292.05,0.26,0.69
576.66,0.17,1.23
189.93,0.19,1.06
132.5,0.2,1.17
67.22,0.16,1.27
895.43,0.23,0.85
4355.15,0.21,0.76
235.07,0.17,1.08
56.44,0.13,1.35
3296.48,0.26,0.68
1475.62,0.17,0.93
92.33,0.17,1.12
2506.63,0.22,0.79
20.17,0.13,1.37
477.03,0.23,0.79
464.47,0.17,0.97
2239.11,0.23,0.75
870.79,0.22,0.82
2512,0.25,0.67
189.16,0.16,1.09
92.81,0.17,1.2
1350.44,0.26,0.78
2327.3,0.24,0.76
772.25,0.19,0.97
1270.32,0.2,0.93
382.41,0.17,0.97
2965.63,0.29,0.62
330.7,0.2,1.06
2011.4,0.22,0.76
391.05,0.16,1.09
1226.88,0.18,1
45.81,0.16,1.23
1120.29,0.17,1
1465.2,0.21,0.82
2447.17,0.21,0.83
295.77,0.18,1.07
574.84,0.2,1.01
1306.75,0.23,0.91
909.6,0.18,0.95
28.51,0.16,1.25
199.05,0.15,1.14
1472.75,0.21,1.01
4232.68,0.22,0.7
1010.74,0.17,0.96
1072.2,0.21,0.85
3423.07,0.27,0.67
134.52,0.18,1.17
395.88,0.18,1.05
168.87,0.15,1.16
277.4,0.19,1.01
74.37,0.17,1.21
133.92,0.2,1.11
136.75,0.15,1.22
169.12,0.16,1.11
2606.28,0.22,0.79
3255.85,0.21,0.76
856.26,0.23,0.87
141.49,0.18,1.15
360.98,0.18,1.05
2865.59,0.23,0.8
998.78,0.17,1.03
1026.1,0.26,0.73
4817.9,0.28,0.55
4925.35,0.22,0.72
355.75,0.19,1
702.76,0.18,1.01
1128.93,0.2,0.93
520.11,0.2,0.98
334.11,0.19,1.06
2374.36,0.22,0.77
922.03,0.17,1.02
1195.57,0.2,0.94
3986.13,0.28,0.64
3189.51,0.25,0.74
413.86,0.24,1.05
608.48,0.18,0.99
476.57,0.23,0.9
270.48,0.17,1.13
3216.94,0.25,0.74
3434.91,0.25,0.77
373.62,0.18,1.08
274.79,0.17,0.94
3047.35,0.22,0.77
131.06,0.13,1.22
86.57,0.15,1.19
2962.75,0.25,0.61
315.16,0.16,1.1
229.74,0.17,1.12
2828.73,0.21,0.72
512.76,0.2,0.96
1329.24,0.18,0.97
352.94,0.16,1.13
973,0.21,0.89
2918.72,0.25,0.69
267.53,0.17,1.01
3321.45,0.26,0.64
4704.72,0.26,0.65
2724.89,0.27,0.68
1374.79,0.18,0.96
398.13,0.16,1.15
2491.42,0.23,0.77
238.25,0.15,1.22
4427.23,0.25,0.7
3935.59,0.21,0.76
1129.64,0.16,1.11
2279.4,0.28,0.68
35.53,0.16,1.28
603.52,0.23,0.9
501.25,0.18,1
536.03,0.22,0.74
4444.92,0.28,0.6
2213.62,0.19,0.86
569.07,0.23,0.81
2699.8,0.27,0.58
84.62,0.12,1.3
396,0.17,1.12
2449.69,0.22,0.72
1157.22,0.23,0.8
4628.31,0.26,0.58
1564.41,0.26,0.73
552.96,0.16,1.05
130.41,0.18,1.12
611.18,0.18,1.02
318.16,0.21,1.01
208.99,0.18,1.05
3038.75,0.23,0.74
199.72,0.19,1.07
345.3,0.15,1.1
1129.21,0.17,1.06
2549.82,0.26,0.64
2761.72,0.26,0.7
2990.52,0.23,0.67
122.92,0.15,1.19
2550.89,0.29,0.66
121.37,0.17,1.2
4439.71,0.21,0.75
3075.5,0.25,0.79
1793.7,0.25,0.7
2415.51,0.25,0.71
3298.07,0.23,0.71
136.76,0.13,1.15
388.92,0.18,1.06
111.31,0.17,1.22
4378.42,0.22,0.63
287.89,0.22,0.81
60.52,0.16,1.19
3944.98,0.23,0.71
4069.46,0.29,0.7
392.59,0.16,1.13
299.63,0.18,1.15
52.46,0.15,1.23
1271.49,0.2,0.89
24.74,0.14,1.31
345.72,0.19,1
94.28,0.13,1.3
1055.68,0.22,0.94
184.23,0.19,1.01
1314.59,0.23,0.8
2099.38,0.26,0.61
59.04,0.16,1.2
76.22,0.16,1.19
384.43,0.16,1.07
292.29,0.17,1.3
1125.65,0.22,0.81
857.81,0.27,0.77
4978.64,0.23,0.7
2187.69,0.29,0.64
215.26,0.15,1.09
1296.35,0.22,0.86
207.75,0.15,1.12
353.31,0.17,1.05
1113.49,0.26,0.78
1937.29,0.22,0.89
4683.31,0.26,0.61
1374.05,0.23,1.02
173.88,0.19,1.07
882.8,0.16,0.99
509.57,0.18,0.9
2083.85,0.21,0.79
1451.71,0.22,0.98
2889.1,0.24,0.74
3722.45,0.24,0.6
40.23,0.17,1.18
3952.16,0.21,0.79
263.98,0.17,1.11
1148.8,0.16,0.98
3025.58,0.27,0.74
2321.44,0.23,0.78
1023.86,0.23,0.96
714.02,0.22,0.9
4990,0.29,0.62
360.31,0.19,1
4995.83,0.25,0.64
87.94,0.15,1.26
932.82,0.17,0.95
624.07,0.2,0.94
1182.69,0.24,0.68
1162.86,0.2,0.94
1279.81,0.23,0.84
134.74,0.17,1.03
3099.16,0.27,0.65
33.51,0.18,1.17
4378.18,0.28,0.56
2005.88,0.2,0.82
2001.79,0.22,0.75
92.82,0.16,1.2
27.5,0.14,1.29
4869.01,0.27,0.59
1939.36,0.22,0.82
1862.58,0.27,0.7
2402.04,0.26,0.78
557.19,0.18,0.98
954.11,0.21,1
105.64,0.15,1.25
70.9,0.14,1.27
2392.21,0.23,0.77
1095.86,0.21,0.88
250.58,0.19,0.89
1288.2,0.23,0.82
2374.36,0.24,0.53
285.15,0.18,1.03
114.51,0.15,1.22
264.16,0.17,1.01
3934.54,0.26,0.69
3151.29,0.24,0.76
343.35,0.18,0.94
2586.03,0.21,0.79
925.69,0.2,0.88
140.78,0.18,1.15
832.26,0.2,0.98
964.53,0.2,0.87
1342.96,0.23,0.64
4851.68,0.27,0.65
285.42,0.15,1.08
675.76,0.22,0.87
3546.67,0.22,0.68
3301.45,0.21,0.75
225.69,0.19,1.13
210.39,0.18,1.08
22.36,0.16,1.23
130.97,0.16,1.16
26.07,0.13,1.28
3848.37,0.26,0.66
4538.84,0.25,0.59
2154.76,0.23,0.86
290.53,0.18,1.02
461.15,0.21,0.83
29.36,0.14,1.32
3175.1,0.21,0.72
3195,0.29,0.66
3277.62,0.25,0.72
1403.62,0.23,0.84
183.27,0.18,0.99
201,0.16,1.13
4006.01,0.28,0.6
54.97,0.15,1.3
2525.93,0.26,0.68
3287.75,0.2,0.8
958.68,0.24,0.85
98.96,0.15,1.25
126.55,0.16,1.21
1111.1,0.23,0.79
1229.22,0.16,1.06
1523.88,0.23,0.77
123.34,0.2,1.11
3021.41,0.24,0.95
4268.02,0.25,0.62
2031.31,0.24,0.75
268.64,0.19,1.02
3556.88,0.26,0.67
51.35,0.16,1.23
3533.62,0.24,0.79
311.85,0.24,0.91
36.48,0.17,1.05
3349.71,0.21,0.78
3275.09,0.28,0.66
127.87,0.15,1.16
3232.12,0.21,0.8
1979.69,0.23,0.78
968.26,0.25,0.81
495.43,0.22,0.83
553.08,0.19,0.96
1365.98,0.22,0.87
2138.07,0.21,0.77
889.57,0.25,0.8
658.17,0.2,0.96
496.13,0.19,1.03
1241.48,0.17,1.02
4071.29,0.29,0.66
652.84,0.23,0.92
632.3,0.19,0.99
4074.14,0.25,0.62
4870.19,0.29,0.6
2817.53,0.28,0.63
1454.52,0.19,1.03
2298.32,0.26,0.72
382.48,0.19,1.03
2531.97,0.22,0.69
1221.6,0.24,0.85
2401.01,0.21,0.78
418.33,0.18,0.98
1248.25,0.21,0.88
570.79,0.22,1.02
424.57,0.18,0.98
2265.05,0.23,0.77
274.78,0.24,0.83
168.66,0.2,1.04
851.77,0.21,0.88
215.41,0.2,1
2343.91,0.27,0.59
43.91,0.12,1.34
287.01,0.18,1.02
2539.48,0.19,0.88
111.39,0.13,1.35
119.01,0.19,1.09
1114.15,0.18,0.9
130.02,0.15,1.27
2821.3,0.25,0.75
308.66,0.2,1.01
2097.3,0.27,0.69
4825.36,0.21,0.77
1194.78,0.23,0.81
2495.88,0.25,0.69
2158.03,0.24,0.75
60.41,0.13,1.2
343.9,0.13,1.17
1489.1,0.23,0.83
427.53,0.2,0.87
243.05,0.15,1.16
1742.99,0.24,0.81
1030.44,0.18,0.93
3902.31,0.25,0.64
2099.65,0.21,0.6
3573.36,0.28,0.67
3449.76,0.25,0.65
532.3,0.2,0.95
209.82,0.15,1.23
369.14,0.19,1.07
264.78,0.17,1.13
1101.34,0.25,0.79
55.11,0.16,1.27
95.77,0.19,1.11
211.88,0.19,1.04
3735.41,0.29,0.62
313.57,0.16,1.14
74.8,0.19,1.08
3960.06,0.26,0.71
4354.4,0.23,0.75
1243.36,0.22,0.91
61.31,0.13,1.29
267.07,0.17,1.02
255.99,0.19,0.96
166.92,0.16,1.1
130.7,0.12,1.31
1278.13,0.19,0.9
4963.68,0.22,0.71
342.73,0.22,1.02
199.05,0.17,1.14
1087.39,0.23,0.83
838.02,0.18,0.93
256.41,0.15,1.17
423.14,0.21,0.9
869.1,0.21,0.91
138.55,0.16,1.21
207.04,0.14,1.2
46.48,0.12,1.33
2495.76,0.26,0.66
314.62,0.14,1.22
2131.62,0.19,0.94
865.59,0.18,0.94
2902.06,0.26,0.59
139.23,0.12,1.28
3458.86,0.2,0.81
3061.94,0.2,0.8
1150.95,0.2,0.92
1068.74,0.21,0.96
356.98,0.19,0.99
905.59,0.19,1.02
960.01,0.2,0.92
2752.22,0.2,0.83
370.1,0.18,1.05
2097.03,0.22,0.7
1130.23,0.17,0.95
226.79,0.19,1.13
801.5,0.22,0.85
280.29,0.16,1.1
1224.32,0.21,0.93
1749.47,0.21,0.81
401.53,0.22,0.95
1403.48,0.21,0.92
556.67,0.16,1.08
2890.99,0.24,0.71
2222.87,0.26,0.6
2479.47,0.26,0.53
1333.28,0.19,1
343.25,0.19,1.1
200.88,0.19,1.12
4450.12,0.22,0.73
121.97,0.2,1.1
2666.17,0.22,0.84
259.62,0.18,1.05
961.66,0.16,0.76
4502.39,0.27,0.62
1565.89,0.27,0.68
258.69,0.15,1.27
457.69,0.17,0.98
1264.05,0.22,0.85
474.68,0.22,0.92
3343.25,0.25,0.72
377.85,0.22,0.9
275.28,0.15,1.18
3659.75,0.26,0.69
185.16,0.17,1.12
2443.99,0.22,0.71
1327.61,0.21,0.85
323.72,0.14,1.15
2989.01,0.24,0.76
915.16,0.23,0.85
87.2,0.18,1.2
1446.67,0.2,0.89
493.58,0.19,0.91
134.16,0.13,1.23
82.43,0.17,1.22
266.64,0.14,1.17
229.64,0.15,1.1
770.38,0.2,0.92
2235.26,0.25,0.77
271.97,0.14,1.14
2683.47,0.28,0.62
1144.89,0.25,0.82
3213.93,0.24,0.77
2897.31,0.23,0.82
45.01,0.13,1.33
976.54,0.2,0.93
288.13,0.19,1
2294,0.24,0.75
1555.96,0.21,0.82
3724.66,0.24,0.7
2951.12,0.29,0.62
144.91,0.17,1.13
165.46,0.15,1.18
490.67,0.19,1.17
838.22,0.22,1.05
1436.13,0.19,0.94
4084.41,0.22,0.77
2124.96,0.22,0.69
190.95,0.18,1.1
412.03,0.16,0.96
126.7,0.17,1.15
969.31,0.2,1.03
298.22,0.23,0.95
247.54,0.19,1.01
2010,0.27,0.71
323.56,0.17,1.07
987.2,0.19,0.94
168.26,0.14,1.2
39.59,0.15,1.2
3560.31,0.23,0.72
374.56,0.18,1.03
1465.84,0.21,0.91
3887.14,0.26,0.63
577.35,0.19,1
3903.14,0.24,0.72
32.84,0.15,1.23
265.06,0.15,1.12
138.34,0.15,1.19
488.12,0.23,0.99
2179.82,0.19,0.88
2478.1,0.27,0.6
3505.15,0.21,0.75
43.54,0.17,1.23
608.49,0.21,0.84
2814.38,0.27,0.58
92.97,0.17,1.35
4981.83,0.22,0.67
1331.6,0.24,0.94
1131.92,0.16,1.04
1317.19,0.21,0.79
159.01,0.18,1.09
118.8,0.19,1.08
263.23,0.17,1.03
280.98,0.19,1.07
2783.27,0.22,0.74
1545.74,0.21,0.94
910.87,0.2,0.87
847.43,0.2,0.92
925.38,0.25,0.8
1275.25,0.21,0.9
128.1,0.17,1.1
89.29,0.19,1.11
814.3,0.23,0.78
2196.85,0.22,0.72
2440.11,0.28,0.63
326.75,0.18,0.95
94.25,0.12,1.26
100.35,0.17,1.17
2014.46,0.19,0.89
508.48,0.2,1.02
602.52,0.24,0.95
99.92,0.17,1.13
4362.88,0.26,0.55
2192.63,0.23,0.65
943.78,0.23,0.84
2519.67,0.26,0.75
4077.06,0.21,0.77
4775.24,0.24,0.66
4430.03,0.26,0.61
514.95,0.16,0.95
1635.55,0.26,0.71
342.47,0.17,1.08
455.83,0.17,0.95
3496.54,0.19,0.89
142.35,0.13,1.28
145.87,0.16,0.89
128.27,0.17,1.18
215.44,0.17,1.09
87.27,0.18,1.19
2536.32,0.27,0.74
2255.33,0.26,0.69
79.91,0.13,1.33
127.84,0.13,1.21
1254.36,0.17,0.98
281.03,0.24,0.89
1079.04,0.17,0.93
360.21,0.19,1.03
459.7,0.22,0.9
392.21,0.21,0.99
4515.18,0.26,0.67
106.7,0.17,1.27
4658.7,0.21,0.74
1382.32,0.22,0.85
261.05,0.19,1.09
312.2,0.16,1.01
4443.37,0.23,0.73
74.49,0.12,1.21
1416.74,0.18,0.99
452.02,0.21,0.93
22.29,0.14,1.29
3982.38,0.29,0.62
57.87,0.16,1.36
2186.21,0.27,0.68
374.01,0.14,1.04
1246.79,0.2,0.86
821.12,0.19,0.99
504.09,0.2,0.84
424.09,0.21,0.95
483.06,0.21,0.89
1056.09,0.16,1.02
4788.02,0.25,0.53
2818.66,0.23,0.76
212.27,0.19,1.11
2445.03,0.27,0.64
26.69,0.16,1.33
506.38,0.16,1
3298.38,0.25,0.67
303.78,0.2,1.1
3257.8,0.27,0.46
2169.13,0.21,0.73
1059.73,0.2,0.86
4993.1,0.24,0.69
99.94,0.18,1.14
715.76,0.16,1.02
948.07,0.23,0.92
1491.24,0.21,0.86
141.47,0.12,1.31
2785.28,0.24,0.71
907,0.21,0.91
350.26,0.17,1.08
3543.66,0.28,0.61
53.97,0.18,1.15
691.28,0.16,0.98
995.07,0.2,0.88
966.23,0.21,0.88
2100.42,0.22,0.75
3605.06,0.24,0.77
844.38,0.19,0.92
1456.64,0.16,0.92
515.74,0.19,1.03
1127.48,0.23,0.93
3399.04,0.24,0.76
4426.32,0.24,0.72
1855.29,0.25,0.82
2852.95,0.19,0.98
162.87,0.15,1.15
3431.23,0.23,0.66
315.71,0.23,0.86
1146.5,0.19,0.89
3138.66,0.21,0.65
93.14,0.17,1.31
1996.41,0.24,0.73
760.05,0.21,0.96
278.06,0.19,1.06
2793.66,0.22,0.9
2056.57,0.24,0.82
1488.25,0.19,0.92
664.57,0.17,0.99
2932.26,0.25,0.7
1213.63,0.16,0.86
314.91,0.18,1.05
265.73,0.16,1.24
2735,0.2,0.92
1439.61,0.19,0.91
2420.03,0.22,0.81
1160.53,0.23,0.81
1190.32,0.21,0.9
477.5,0.21,0.95
1005.19,0.22,0.96
3291.95,0.26,0.65
1265.45,0.24,0.85
3922.14,0.24,0.7
1309.96,0.17,0.98
265.54,0.19,1.06
329.82,0.14,1.16
810.66,0.16,0.94
2077.97,0.22,0.81
3360.37,0.24,0.69
68.77,0.17,1.21
3333.6,0.25,0.67
691.32,0.18,0.91
355.2,0.16,1.09
1133.57,0.22,0.89
2529.67,0.21,0.72
219.69,0.15,1.24
215.16,0.18,1.1
2445.97,0.27,0.72
168.12,0.18,1.16
4834.78,0.22,0.71
2400.89,0.24,0.74
115.46,0.14,1.26
203.03,0.17,1.14
94.6,0.14,1.23
3241.09,0.21,0.85
410.39,0.21,0.92
1322.31,0.25,0.88
232.32,0.18,1.14
1803.95,0.27,0.66
815.06,0.17,1.09
2068.13,0.2,0.73
250.51,0.18,1.22
205.64,0.18,1.03
336.38,0.16,1.09
1484.19,0.16,1.02
1407.05,0.17,1.09
130.2,0.15,1.24
323.71,0.16,1.04
3039.45,0.24,0.68
127.36,0.18,1.15
57.37,0.14,1.32
227.13,0.19,1.06
342.81,0.18,0.99
2866.71,0.27,0.6
416.76,0.17,1.03
1777.8,0.21,0.82
42.76,0.12,1.34
950.5,0.19,0.92
2553.18,0.24,0.77
101.16,0.14,1.25
3292.66,0.28,0.66
1341.01,0.24,0.86
782.89,0.2,0.96
373.9,0.15,1.06
2786.81,0.25,0.73
201.95,0.18,1.09
2457.95,0.21,0.75
495.99,0.18,1.03
2615.59,0.23,0.61
3983.31,0.23,0.69
2090.77,0.26,0.71
266.65,0.19,1.06
654.47,0.23,0.86
255.33,0.22,0.98
65.34,0.14,1.28
233.08,0.2,1.08
826.85,0.19,0.96
2337.55,0.2,0.54
2237.25,0.22,0.77
1045.91,0.26,0.73
210.23,0.15,1.3
1669.06,0.21,0.73
83.88,0.17,1.19
282.08,0.18,1.01
1160.13,0.2,0.95
245.02,0.15,1.18
3899.2,0.29,0.68
735.75,0.18,1.02
258.84,0.15,1.18
282.24,0.18,1.05
1886.69,0.25,0.77
61.57,0.13,1.29
441.49,0.23,0.92
356.08,0.2,1.07
1356.24,0.21,0.91
1433.55,0.16,0.98
3434.76,0.22,0.78
418.04,0.2,0.98
3090.12,0.2,0.83
953.39,0.18,1.02
345.69,0.17,1.06
4119.17,0.25,0.62
87.24,0.17,1.1
4342.72,0.22,0.8
1466.09,0.2,0.91
563.76,0.19,1.08
79.35,0.13,1.29
4626.84,0.28,0.61
3295.18,0.19,0.84
1359.78,0.17,0.98
2727.86,0.27,0.72
3284.5,0.25,0.82
1321.85,0.21,0.92
2579.46,0.22,0.76
421.39,0.22,0.97
2895.52,0.21,0.82
479.01,0.21,0.98
1413.18,0.17,1.07
2549.73,0.22,0.79
1229.44,0.21,0.89
624.69,0.18,0.98
231.37,0.15,1.41
2675.92,0.28,0.63
1085.54,0.16,0.94
686.22,0.23,0.83
4240.78,0.28,0.65
3155.86,0.26,0.75
104.37,0.13,1.24
3844.98,0.27,0.63
881.2,0.18,0.98
1241.91,0.19,0.98
53.58,0.14,1.27
4797.12,0.22,0.66
156.66,0.14,1.21
3749.49,0.25,0.58
3244.39,0.22,0.79
2466.46,0.19,0.67
2423.43,0.25,0.72
347.55,0.15,1.17
2219.41,0.21,0.79
305.22,0.16,1.19
4429.89,0.27,0.67
320.7,0.17,1.09
2799.85,0.28,0.63
3448.05,0.24,0.69
236.15,0.16,1.18
1877.61,0.24,0.79
651.89,0.24,0.84
3459.27,0.27,0.59
120.58,0.13,1.3
524.6,0.21,0.94
852.7,0.23,0.85
3103.13,0.21,0.83
171.04,0.16,1.17
109.94,0.18,1.15
1245.51,0.2,0.86
226.82,0.19,1.04
341.18,0.18,1.05
1972.9,0.25,0.71
234.68,0.2,1.01
4834.75,0.27,0.66
881.15,0.27,0.75
1340.53,0.19,0.86
480.76,0.18,1.01
250.94,0.16,1.13
878.7,0.16,1.07
4464.96,0.25,0.68
4021.32,0.23,0.67
54.41,0.14,1.31
322.02,0.16,1.09
2476.61,0.23,0.65
146.91,0.15,1.26
696.59,0.19,0.96
1121.32,0.19,0.95
1673.88,0.23,0.83
208.65,0.19,1.16
728.5,0.15,0.96
1900.49,0.23,0.69
1380.19,0.22,0.87
4864.65,0.26,0.54
265.43,0.14,1.15
81.95,0.14,1.29
2927.92,0.24,0.97
2046.17,0.25,0.67
3713.66,0.25,0.64
336.29,0.18,1.01
1699.68,0.22,0.79
834.88,0.23,0.79
259.46,0.18,1.03
1887.11,0.23,0.88
2505.68,0.22,0.74
64.59,0.14,1.31
2051.64,0.25,0.79
20.93,0.16,1.21
928.59,0.21,0.91
3792.06,0.24,0.72
2741.07,0.27,0.58
1350.65,0.23,0.87
3127.73,0.24,0.71
4617.24,0.28,0.64
815.33,0.24,0.92
374.43,0.18,0.99
51.22,0.17,1.23
84.5,0.18,1.07
4708.07,0.28,0.42
346.21,0.2,0.97
117.05,0.16,1.14
206.2,0.15,1.15
121.99,0.15,1.16
4015.19,0.26,0.64
350.91,0.2,1.06
3524.65,0.29,0.6
3317.92,0.25,0.69
857.27,0.22,0.7
67.99,0.13,1.23
1844.67,0.24,0.83
2059.19,0.23,0.72
3146.61,0.21,0.81
295.23,0.2,0.98
316.09,0.17,1.09
3491.93,0.23,0.69
2761.2,0.23,0.84
370.4,0.23,0.71
4531.77,0.25,0.65
1225.28,0.27,0.72
1165.3,0.26,0.79
97.24,0.15,1.2
2724.87,0.25,0.71
712.85,0.22,0.91
1499.98,0.21,0.88
752,0.23,0.97
130.24,0.15,1.29
1217,0.25,0.77
1929.05,0.18,0.92
350.53,0.17,1.2
241.35,0.16,1.12
965.56,0.19,0.82
127.32,0.18,1.05
1497.25,0.22,0.89
117.12,0.18,1.1
526.4,0.22,0.89
913.05,0.18,1.08
1647.81,0.19,0.9
79.3,0.13,1.36
3617.2,0.26,0.57
3940.15,0.27,0.61
1639.84,0.24,0.81
114.13,0.17,1.1
1129.16,0.18,1.01
1478.36,0.19,1.01
939.71,0.22,0.95
2126.51,0.23,0.71
205.52,0.23,0.93
1117.57,0.17,0.97
1030.06,0.21,0.86
137.35,0.16,1.21
882.41,0.23,0.82
2532.94,0.2,0.92
4738.92,0.21,0.69
865.33,0.17,1
238.07,0.19,1.03
213.53,0.14,1.17
3884.96,0.22,0.71
1061.68,0.23,0.75
101.72,0.13,1.27
2546.91,0.26,0.65
1469.79,0.21,0.85
2569.42,0.26,0.69
54.59,0.12,1.37
851.69,0.18,1.1
4075.66,0.24,0.64
1204.05,0.17,0.94
3188.43,0.22,0.72
135.72,0.15,1.24
1280.94,0.23,0.88
37.93,0.13,1.42
2901.51,0.26,0.67
4573.61,0.27,0.63
4754.91,0.28,0.6
2514.77,0.2,0.85
203.02,0.16,1.1
349.76,0.17,1.04
643.03,0.24,0.89
76.45,0.17,1.23
324.73,0.16,0.93
4759.22,0.24,0.68
2100.29,0.26,0.65
58.26,0.14,1.36
1705.82,0.21,1
370.69,0.17,1.31
579.52,0.2,0.99
276.87,0.17,1.2
1199.58,0.25,0.73
180.2,0.15,1.09
2554.7,0.21,0.82
4441.77,0.23,0.73
3773.05,0.23,0.67
2055.13,0.23,0.77
1615.53,0.26,0.77
3425.55,0.23,0.69
3655.72,0.24,0.69
4535.09,0.22,0.75
674.07,0.17,1
3401.67,0.21,0.82
1205.51,0.24,0.78
762.74,0.22,0.94
1903.75,0.2,0.97
72.7,0.17,1.2
4426.11,0.2,0.75
295.32,0.19,1.06
29.57,0.15,1.19
1024.57,0.16,1.06
664.51,0.16,1.05
395.62,0.15,1.1
870.32,0.19,0.99
1262.43,0.21,0.83
1304.01,0.21,0.82
128.7,0.17,1.1
3256.96,0.27,0.71
2204.05,0.25,0.7
542.46,0.17,1.1
1377.26,0.17,0.99
4968.46,0.22,0.74
43.74,0.13,1.29
2737.33,0.28,0.62
170.78,0.18,1.1
1165.93,0.2,0.93
1146.96,0.23,0.88
1068.8,0.22,0.89
1963.53,0.25,0.77
3165.91,0.23,0.7
3022.06,0.23,0.82
3189.65,0.23,0.74
4932.85,0.22,0.64
102.06,0.14,1.22
335.46,0.17,1.14
1460.27,0.22,0.9
3223.31,0.2,0.81
1231.13,0.21,0.88
106.47,0.16,1.24
3808.36,0.27,0.87
274.59,0.23,0.86
639.88,0.18,0.98
112.63,0.16,1.15
1874.58,0.22,0.79
200.6,0.14,1.15
768.38,0.24,0.86
846.2,0.19,0.96
2072.13,0.21,0.82
3416.21,0.22,0.7
127.64,0.16,1.12
317.54,0.17,1.12
3692.01,0.28,0.63
3319.92,0.27,0.63
381.47,0.16,1.09
2503.58,0.21,0.78
103.71,0.15,1.27
384.21,0.2,0.95
3187.12,0.22,0.81
468.7,0.2,0.97
303.38,0.18,1.1
4261.6,0.24,0.68
129.36,0.18,1.16
388.25,0.14,1.25
1886.07,0.2,0.92
2758.11,0.25,0.69
4977.59,0.28,0.6
280.97,0.16,1.2
2944.17,0.23,0.75
803.5,0.2,0.82
1955.26,0.24,0.84
2257.51,0.26,0.67
204.82,0.16,1.13
4946.46,0.21,0.7
289.51,0.2,1.03
3406.36,0.28,0.64
2494.22,0.27,0.67
1626.78,0.23,0.98
1328.54,0.23,0.87
121.19,0.15,1.19
115.73,0.16,1.24
115.78,0.15,1.16
338.98,0.16,1
1306.35,0.17,0.95
3136.09,0.27,0.62
3314.83,0.19,0.84
1046.48,0.18,0.94
1099.32,0.25,0.74
3144.06,0.29,0.64
1229.05,0.17,0.9
3367.33,0.26,0.7
3062.65,0.22,0.74
3382.36,0.23,0.68
2944.25,0.27,0.64
2592.71,0.26,0.67
2372.79,0.19,0.85
2815.43,0.21,0.97
2879.18,0.27,0.68
1417.57,0.22,0.48
3636.14,0.26,0.71
339.51,0.14,1.09
169.86,0.18,1.05
1144.54,0.2,0.82
1405.6,0.21,0.83
193.86,0.2,1.14
949.6,0.25,0.7
1303.48,0.18,0.94
3249.68,0.29,0.58
910.45,0.24,0.78
3419.44,0.22,0.7
650.25,0.19,1.03
2127.17,0.24,0.9
875.41,0.21,0.85
237.24,0.19,1.06
572.71,0.19,0.92
1232.12,0.24,0.81
1864.48,0.21,0.8
1374.63,0.22,0.91
3360.94,0.23,0.68
4100.28,0.23,0.55
988.15,0.24,0.8
852.05,0.23,0.91
116.73,0.14,1.26
3554.6,0.24,0.77
1079.04,0.21,0.83
2432.23,0.25,0.87
356.84,0.16,1.08
2329.01,0.23,0.61
4479.23,0.27,0.61
3277.1,0.23,0.84
1119.83,0.22,1
165.82,0.18,1.07
1043.72,0.17,0.93
2474.25,0.27,0.76
4752.21,0.25,0.59
212.55,0.17,1.09
2113.45,0.19,0.88
511.75,0.23,0.93
1065.2,0.23,0.89
4431.74,0.29,0.58
899.03,0.22,0.89
3650.76,0.27,0.66
3186.67,0.25,0.73
145.55,0.18,1.09
362.37,0.17,0.94
237.04,0.14,1.17
2135.85,0.25,0.66
3320.4,0.26,0.57
471.54,0.22,0.84
22.72,0.18,1.24
1335.24,0.19,0.95
1736.79,0.24,0.83
2930.6,0.22,0.81
4793.02,0.22,0.67
230.74,0.17,1.04
309.87,0.14,1.25
2892.95,0.26,0.69
4872.31,0.25,0.67
2754.82,0.2,0.77
4154.41,0.22,0.79
625.99,0.23,0.91
336.37,0.15,1.18
3104.17,0.24,0.61
727.41,0.2,0.9
3030.97,0.25,0.69
3157.86,0.23,0.75
2312.47,0.26,0.74
224.4,0.15,1.15
648.02,0.19,0.93
395.01,0.2,1.01
32.7,0.15,1.29
666.02,0.24,0.95
337.08,0.16,1.02
336.37,0.16,1.09
979.15,0.22,0.84
116.49,0.12,1.27
1482.07,0.16,1.01
712.43,0.2,0.94
4594.45,0.22,0.75
460.01,0.16,1
3905.28,0.25,0.71
2867.08,0.26,0.67
131.37,0.18,1.11
84.01,0.15,1.17
312.44,0.19,1.04
4293.09,0.27,0.6
95.45,0.15,1.35
174.56,0.2,1.23
1258.91,0.23,0.82
370.04,0.16,1.1
882.77,0.2,0.9
188.33,0.15,1.16
4612.2,0.22,0.7
1849.4,0.23,0.81
2428.85,0.26,0.67
324.25,0.2,0.96
1168.23,0.19,0.87
4303.26,0.22,0.72
330.58,0.15,1.32
479.1,0.19,0.99
37.68,0.17,1.25
